date,open,high,low,close,volume,foreign_ownership,code,name,source
2022-08-01,19850,20500,19850,20400,188630,1.91,090360,Robostar,naver-finance
2022-08-02,20800,21900,20650,20950,449615,1.45,090360,Robostar,naver-finance
2022-08-03,21200,21200,20400,20700,79962,1.41,090360,Robostar,naver-finance
2022-08-04,20900,20950,20550,20700,69533,1.46,090360,Robostar,naver-finance
2022-08-05,20550,20800,20300,20500,68649,1.47,090360,Robostar,naver-finance
2022-08-08,20750,21200,20650,21050,133177,1.45,090360,Robostar,naver-finance
2022-08-09,20800,21100,20550,20750,59948,1.45,090360,Robostar,naver-finance
2022-08-10,20700,20750,20300,20400,45030,1.49,090360,Robostar,naver-finance
2022-08-11,20700,20850,20450,20600,46146,1.55,090360,Robostar,naver-finance
2022-08-12,20600,21350,20600,20850,101426,1.55,090360,Robostar,naver-finance
2022-08-16,21100,21450,20900,21000,69251,1.6,090360,Robostar,naver-finance
2022-08-17,21100,21500,20750,21300,88646,1.66,090360,Robostar,naver-finance
2022-08-18,21250,22150,20950,21600,174576,1.85,090360,Robostar,naver-finance
2022-08-19,22150,22150,21050,21100,132480,1.69,090360,Robostar,naver-finance
2022-08-22,20600,20900,20350,20350,80642,1.73,090360,Robostar,naver-finance
2022-08-23,20000,20650,19850,20100,75385,1.78,090360,Robostar,naver-finance
2022-08-24,20400,21300,20150,20850,93786,1.76,090360,Robostar,naver-finance
2022-08-25,20800,21200,20700,20950,47595,1.76,090360,Robostar,naver-finance
2022-08-26,21150,21150,20500,20500,43948,1.71,090360,Robostar,naver-finance
2022-08-29,19850,20050,19650,19900,65307,1.75,090360,Robostar,naver-finance
2022-08-30,19800,20200,19800,20100,31796,1.8,090360,Robostar,naver-finance
2022-08-31,19950,20300,19750,20100,36933,1.83,090360,Robostar,naver-finance
2022-09-01,19800,20000,19500,19500,51510,1.73,090360,Robostar,naver-finance
2022-09-02,19700,19950,19250,19250,30690,1.7,090360,Robostar,naver-finance
2022-09-05,19050,19400,18800,18950,33429,1.67,090360,Robostar,naver-finance
2022-09-06,18800,19350,18800,19300,29331,1.76,090360,Robostar,naver-finance
