date,open,high,low,close,volume,foreign_ownership,code,name,source
2022-08-01,2444.05,2461.4,2437.13,2452.25,487160,0.0,KOSPI,KOSPI,naver-finance
2022-08-02,2451.0,2451.07,2428.76,2439.62,549923,0.0,KOSPI,KOSPI,naver-finance
2022-08-03,2438.56,2461.45,2433.12,2461.45,475302,0.0,KOSPI,KOSPI,naver-finance
2022-08-04,2478.44,2478.95,2465.32,2473.11,399964,0.0,KOSPI,KOSPI,naver-finance
2022-08-05,2481.43,2497.58,2480.05,2490.8,409776,0.0,KOSPI,KOSPI,naver-finance
2022-08-08,2481.17,2494.0,2477.76,2493.1,418234,0.0,KOSPI,KOSPI,naver-finance
2022-08-09,2493.57,2506.49,2481.36,2503.46,454363,0.0,KOSPI,KOSPI,naver-finance
2022-08-10,2493.7,2494.15,2478.21,2480.88,479467,0.0,KOSPI,KOSPI,naver-finance
2022-08-11,2507.74,2523.78,2506.41,2523.78,505245,0.0,KOSPI,KOSPI,naver-finance
2022-08-12,2519.66,2533.2,2514.31,2527.94,445546,0.0,KOSPI,KOSPI,naver-finance
2022-08-16,2543.05,2546.35,2532.2,2533.52,398335,0.0,KOSPI,KOSPI,naver-finance
2022-08-17,2536.57,2543.15,2512.01,2516.47,418052,0.0,KOSPI,KOSPI,naver-finance
2022-08-18,2499.3,2515.37,2488.09,2508.05,381627,0.0,KOSPI,KOSPI,naver-finance
2022-08-19,2510.72,2510.72,2492.69,2492.69,459834,0.0,KOSPI,KOSPI,naver-finance
2022-08-22,2467.38,2475.77,2457.08,2462.5,422552,0.0,KOSPI,KOSPI,naver-finance
2022-08-23,2449.31,2454.55,2431.83,2435.34,471166,0.0,KOSPI,KOSPI,naver-finance
2022-08-24,2446.18,2454.01,2430.69,2447.45,423502,0.0,KOSPI,KOSPI,naver-finance
2022-08-25,2459.79,2477.26,2455.32,2477.26,426229,0.0,KOSPI,KOSPI,naver-finance
2022-08-26,2489.14,2497.76,2476.75,2481.03,520091,0.0,KOSPI,KOSPI,naver-finance
2022-08-29,2432.06,2432.89,2417.01,2426.89,448746,0.0,KOSPI,KOSPI,naver-finance
2022-08-30,2441.21,2453.91,2433.48,2450.93,336555,0.0,KOSPI,KOSPI,naver-finance
2022-08-31,2433.47,2473.75,2426.14,2472.05,436246,0.0,KOSPI,KOSPI,naver-finance
2022-09-01,2443.0,2443.61,2415.61,2415.61,580021,0.0,KOSPI,KOSPI,naver-finance
2022-09-02,2427.7,2432.37,2402.67,2409.41,391598,0.0,KOSPI,KOSPI,naver-finance
2022-09-05,2410.07,2424.77,2392.63,2403.68,354737,0.0,KOSPI,KOSPI,naver-finance
2022-09-06,2409.72,2422.53,2399.26,2410.02,294224,0.0,KOSPI,KOSPI,naver-finance
2022-09-07,2395.66,2398.4,2365.35,2376.46,378200,0.0,KOSPI,KOSPI,naver-finance
2022-09-08,2393.27,2394.06,2379.06,2384.28,423620,0.0,KOSPI,KOSPI,naver-finance
2022-09-13,2418.59,2453.95,2418.59,2449.54,367102,0.0,KOSPI,KOSPI,naver-finance
2022-09-14,2390.47,2418.42,2381.5,2411.42,461507,0.0,KOSPI,KOSPI,naver-finance
2022-09-15,2416.01,2421.63,2401.83,2401.83,424110,0.0,KOSPI,KOSPI,naver-finance
2022-09-16,2387.56,2395.1,2371.11,2382.78,440798,0.0,KOSPI,KOSPI,naver-finance
2022-09-19,2388.73,2389.85,2352.76,2355.66,403937,0.0,KOSPI,KOSPI,naver-finance
2022-09-20,2373.64,2382.52,2359.84,2367.85,419340,0.0,KOSPI,KOSPI,naver-finance
2022-09-21,2351.54,2360.27,2341.79,2347.21,378165,0.0,KOSPI,KOSPI,naver-finance
2022-09-22,2319.7,2335.11,2309.1,2332.31,446820,0.0,KOSPI,KOSPI,naver-finance
2022-09-23,2331.33,2334.06,2285.71,2290.0,446460,0.0,KOSPI,KOSPI,naver-finance
2022-09-26,2260.8,2260.8,2215.36,2220.94,621995,0.0,KOSPI,KOSPI,naver-finance
2022-09-27,2224.39,2227.35,2197.9,2223.86,487939,0.0,KOSPI,KOSPI,naver-finance
2022-09-28,2206.15,2223.56,2151.6,2169.29,596136,0.0,KOSPI,KOSPI,naver-finance
2022-09-29,2197.75,2210.61,2170.14,2170.93,508500,0.0,KOSPI,KOSPI,naver-finance
2022-09-30,2161.11,2177.2,2134.77,2155.49,950269,0.0,KOSPI,KOSPI,naver-finance
2022-10-04,2189.51,2212.38,2180.84,2209.38,421003,0.0,KOSPI,KOSPI,naver-finance
2022-10-05,2248.85,2253.93,2204.03,2215.22,855790,0.0,KOSPI,KOSPI,naver-finance
2022-10-06,2230.43,2250.87,2223.36,2237.86,643015,0.0,KOSPI,KOSPI,naver-finance
2022-10-07,2217.84,2245.88,2215.08,2232.84,428682,0.0,KOSPI,KOSPI,naver-finance
2022-10-11,2193.02,2193.05,2174.06,2192.07,859508,0.0,KOSPI,KOSPI,naver-finance
