date,open,high,low,close,volume,foreign_ownership,code,name
2021-05-07,54900,58300,54900,57500,363036,23.29,263750,Pearl Abyss
2021-05-10,57200,61400,56600,61300,407414,23.26,263750,Pearl Abyss
2021-05-11,60900,61000,58900,59700,227300,23.19,263750,Pearl Abyss
2021-05-12,58900,60300,57000,57200,245669,23.14,263750,Pearl Abyss
2021-05-13,56600,59100,56100,58100,222908,23.09,263750,Pearl Abyss
2021-05-14,57700,58500,56600,56600,156585,23.08,263750,Pearl Abyss
2021-05-17,56500,57600,55700,55800,216590,23.08,263750,Pearl Abyss
2021-05-18,56400,59300,56000,59000,187120,23.06,263750,Pearl Abyss
2021-05-20,59000,59100,57300,59000,168258,23.02,263750,Pearl Abyss
2021-05-21,59200,60200,58200,59500,235726,23.01,263750,Pearl Abyss
2021-05-24,58700,59500,58300,58400,78438,22.98,263750,Pearl Abyss
2021-05-25,58700,59400,57800,58400,116635,22.93,263750,Pearl Abyss
2021-05-26,58500,59400,57500,58400,82722,22.92,263750,Pearl Abyss
2021-05-27,58400,59300,57300,58300,235609,22.89,263750,Pearl Abyss
2021-05-28,58800,59100,58100,58200,105067,22.87,263750,Pearl Abyss
2021-05-31,58600,61000,58300,60600,250757,22.81,263750,Pearl Abyss
2021-06-01,60400,60500,59200,59700,120883,22.74,263750,Pearl Abyss
2021-06-02,59700,60400,58700,59100,143247,22.68,263750,Pearl Abyss
2021-06-03,58900,59100,57300,58200,183172,22.62,263750,Pearl Abyss
2021-06-04,58200,58600,57400,57400,145977,22.58,263750,Pearl Abyss
2021-06-07,57700,58600,57500,57800,127220,22.57,263750,Pearl Abyss
2021-06-08,57300,59700,57300,58900,132241,22.58,263750,Pearl Abyss
2021-06-09,58900,60300,58900,59200,121800,22.62,263750,Pearl Abyss
2021-06-10,59200,62400,58900,61500,439268,22.61,263750,Pearl Abyss
2021-06-11,61600,63100,61300,61900,195494,22.57,263750,Pearl Abyss
2021-06-14,62200,65400,61000,64200,351922,22.57,263750,Pearl Abyss
2021-06-15,64300,65300,63500,64900,204130,22.59,263750,Pearl Abyss
2021-06-16,64800,64900,62900,64000,147570,22.61,263750,Pearl Abyss
2021-06-17,63500,64000,62400,63900,148720,22.65,263750,Pearl Abyss
2021-06-18,63300,66800,62400,66600,266863,22.73,263750,Pearl Abyss
2021-06-21,65600,67000,64600,64700,164635,22.74,263750,Pearl Abyss
2021-06-22,64800,66000,63900,64700,152095,22.76,263750,Pearl Abyss
2021-06-23,64700,65300,63500,64500,155547,22.8,263750,Pearl Abyss
2021-06-24,64000,64200,61900,62800,178534,22.77,263750,Pearl Abyss
2021-06-25,63000,63200,62100,62100,139562,22.7,263750,Pearl Abyss
2021-06-28,62400,62400,61100,61900,127530,22.73,263750,Pearl Abyss
2021-06-29,72000,79100,69900,74400,4414270,22.42,263750,Pearl Abyss
2021-06-30,74500,77100,73100,75700,1291663,22.53,263750,Pearl Abyss
2021-07-01,76100,88000,75600,81600,3287321,22.5,263750,Pearl Abyss
2021-07-02,80500,86400,80300,83400,1206417,22.68,263750,Pearl Abyss
2021-07-05,83800,85400,80700,80700,773739,22.67,263750,Pearl Abyss
2021-07-06,80700,83400,76700,77100,946438,22.68,263750,Pearl Abyss
2021-07-07,76500,80000,75500,78200,620415,22.79,263750,Pearl Abyss
2021-07-08,78500,80800,77300,79000,472192,22.7,263750,Pearl Abyss
2021-07-09,78300,81200,77200,80300,525935,22.66,263750,Pearl Abyss
2021-07-12,81900,81900,78700,79700,354187,22.48,263750,Pearl Abyss
2021-07-13,80700,80700,77900,78600,390960,22.45,263750,Pearl Abyss
2021-07-14,78800,79600,77600,77700,221639,22.43,263750,Pearl Abyss
2021-07-15,77700,79500,77400,78500,205832,22.44,263750,Pearl Abyss
2021-07-16,77800,81400,77800,80200,422521,22.39,263750,Pearl Abyss
2021-07-19,80100,84600,79800,81400,928720,22.24,263750,Pearl Abyss
2021-07-20,80800,85800,80800,84400,844207,22.08,263750,Pearl Abyss
2021-07-21,83200,83500,77700,78000,1145418,21.68,263750,Pearl Abyss
2021-07-22,78800,79800,78000,79400,399761,21.64,263750,Pearl Abyss
2021-07-23,80300,80700,78100,79400,337809,21.54,263750,Pearl Abyss
2021-07-26,79000,81500,78200,78800,408243,21.53,263750,Pearl Abyss
2021-07-27,79100,80300,78400,79000,229504,21.49,263750,Pearl Abyss
2021-07-28,78100,79400,76100,76900,341640,21.55,263750,Pearl Abyss
2021-07-29,77000,78900,76300,78400,205567,21.53,263750,Pearl Abyss
2021-07-30,75000,76400,73600,74000,589520,21.43,263750,Pearl Abyss
2021-08-02,73600,77500,73600,76100,346928,21.4,263750,Pearl Abyss
2021-08-03,77700,79500,67800,70900,1957623,20.92,263750,Pearl Abyss
2021-08-04,71000,71700,69400,70800,475895,20.82,263750,Pearl Abyss
2021-08-05,71800,74000,71400,72300,415608,20.88,263750,Pearl Abyss
2021-08-06,71600,72700,70800,71500,191284,20.9,263750,Pearl Abyss
2021-08-09,70900,70900,69000,70200,371893,20.91,263750,Pearl Abyss
2021-08-10,69700,71400,68300,70300,293432,20.92,263750,Pearl Abyss
2021-08-11,70000,70500,68300,68600,286431,20.84,263750,Pearl Abyss
2021-08-12,67800,70000,66800,68100,401552,20.78,263750,Pearl Abyss
2021-08-13,67200,67500,62500,63600,855706,20.43,263750,Pearl Abyss
2021-08-17,63600,64000,61500,61800,435300,20.38,263750,Pearl Abyss
2021-08-18,61200,64000,61200,62700,275923,20.37,263750,Pearl Abyss
2021-08-19,61100,73600,61100,67500,2341369,19.87,263750,Pearl Abyss
2021-08-20,69600,73000,68100,71000,1052267,19.9,263750,Pearl Abyss
2021-08-23,71300,74000,70100,72400,593983,19.73,263750,Pearl Abyss
2021-08-24,72900,73300,70700,72700,337472,19.7,263750,Pearl Abyss
2021-08-25,72000,72100,67800,70000,644631,19.49,263750,Pearl Abyss
2021-08-26,73200,89400,72100,87900,8559307,18.96,263750,Pearl Abyss
2021-08-27,92300,100100,87200,89000,9477600,18.47,263750,Pearl Abyss
2021-08-30,90000,102000,87800,102000,12159580,18.37,263750,Pearl Abyss
2021-08-31,98000,100400,92000,94300,4783894,18.3,263750,Pearl Abyss
2021-09-01,92300,93500,88500,89500,2830504,18.2,263750,Pearl Abyss
2021-09-02,89000,92300,86400,87500,2514415,18.08,263750,Pearl Abyss
2021-09-03,88000,90100,86600,88400,1585200,18.08,263750,Pearl Abyss
2021-09-06,87700,87700,83200,85800,1537685,18.15,263750,Pearl Abyss
2021-09-07,86000,89600,84000,84100,1464506,17.9,263750,Pearl Abyss
2021-09-08,84100,86700,82900,83000,894933,17.82,263750,Pearl Abyss
2021-09-09,82700,85800,82200,84300,939352,17.8,263750,Pearl Abyss
2021-09-10,81100,83200,77600,81800,2015884,17.56,263750,Pearl Abyss
2021-09-13,82900,83600,80600,80900,600077,17.68,263750,Pearl Abyss
2021-09-14,80400,84400,79500,82900,704848,17.73,263750,Pearl Abyss
2021-09-15,83500,86000,82100,84300,660743,17.71,263750,Pearl Abyss
2021-09-16,84500,85700,81300,82000,569861,17.6,263750,Pearl Abyss
2021-09-17,82000,82900,81200,82400,753758,17.64,263750,Pearl Abyss
2021-09-23,81000,83600,79900,82200,580889,17.6,263750,Pearl Abyss
2021-09-24,82200,88500,81700,87400,1322105,17.45,263750,Pearl Abyss
2021-09-27,85100,86000,81800,82200,812333,17.19,263750,Pearl Abyss
