date,open,high,low,close,volume,foreign_ownership,code,name
2021-05-07,3179.63,3205.11,3179.63,3197.2,989680,0.0,KOSPI,KOSPI
2021-05-10,3201.46,3255.9,3201.46,3249.3,1011267,0.0,KOSPI,KOSPI
2021-05-11,3239.92,3239.92,3192.25,3209.43,1096717,0.0,KOSPI,KOSPI
2021-05-12,3209.36,3212.83,3138.04,3161.66,1424059,0.0,KOSPI,KOSPI
2021-05-13,3146.97,3161.93,3103.88,3122.11,1095948,0.0,KOSPI,KOSPI
2021-05-14,3131.35,3162.31,3131.35,3153.32,836404,0.0,KOSPI,KOSPI
2021-05-17,3163.21,3173.01,3121.32,3134.52,771305,0.0,KOSPI,KOSPI
2021-05-18,3135.38,3176.4,3135.38,3173.05,786143,0.0,KOSPI,KOSPI
2021-05-20,3174.53,3174.53,3140.48,3162.28,774252,0.0,KOSPI,KOSPI
2021-05-21,3171.91,3198.01,3149.46,3156.42,797262,0.0,KOSPI,KOSPI
2021-05-24,3155.91,3163.27,3137.81,3144.3,587968,0.0,KOSPI,KOSPI
2021-05-25,3152.93,3173.1,3148.3,3171.32,612976,0.0,KOSPI,KOSPI
2021-05-26,3171.91,3183.97,3160.3,3168.43,1269999,0.0,KOSPI,KOSPI
2021-05-27,3170.84,3173.86,3142.37,3165.51,1082006,0.0,KOSPI,KOSPI
2021-05-28,3172.09,3198.66,3171.85,3188.73,966367,0.0,KOSPI,KOSPI
2021-05-31,3192.06,3204.29,3179.87,3203.92,1123524,0.0,KOSPI,KOSPI
2021-06-01,3207.12,3233.17,3199.18,3221.87,1472570,0.0,KOSPI,KOSPI
2021-06-02,3224.4,3241.07,3216.1,3224.23,1495671,0.0,KOSPI,KOSPI
2021-06-03,3224.96,3258.5,3224.96,3247.43,1584799,0.0,KOSPI,KOSPI
2021-06-04,3246.17,3246.19,3218.67,3240.08,1392319,0.0,KOSPI,KOSPI
2021-06-07,3244.59,3264.41,3233.4,3252.12,1733348,0.0,KOSPI,KOSPI
2021-06-08,3251.83,3264.67,3242.56,3247.83,1951319,0.0,KOSPI,KOSPI
2021-06-09,3245.08,3246.49,3216.18,3216.18,1964923,0.0,KOSPI,KOSPI
2021-06-10,3216.94,3235.39,3210.31,3224.64,1896766,0.0,KOSPI,KOSPI
2021-06-11,3226.98,3251.58,3226.98,3249.32,1645508,0.0,KOSPI,KOSPI
2021-06-14,3249.6,3254.49,3238.51,3252.13,1664527,0.0,KOSPI,KOSPI
2021-06-15,3253.17,3262.8,3247.9,3258.63,1734497,0.0,KOSPI,KOSPI
2021-06-16,3259.06,3281.96,3256.68,3278.68,2345810,0.0,KOSPI,KOSPI
2021-06-17,3276.2,3276.2,3251.32,3264.96,1848671,0.0,KOSPI,KOSPI
2021-06-18,3265.68,3275.76,3262.58,3267.93,1627658,0.0,KOSPI,KOSPI
2021-06-21,3264.18,3264.18,3225.56,3240.79,1508634,0.0,KOSPI,KOSPI
2021-06-22,3245.79,3267.63,3245.79,3263.88,1666696,0.0,KOSPI,KOSPI
2021-06-23,3265.73,3281.88,3263.07,3276.19,1069174,0.0,KOSPI,KOSPI
2021-06-24,3281.47,3292.27,3277.85,3286.1,1301271,0.0,KOSPI,KOSPI
2021-06-25,3289.18,3316.08,3289.18,3302.84,1198187,0.0,KOSPI,KOSPI
2021-06-28,3305.46,3311.69,3291.3,3301.89,1428764,0.0,KOSPI,KOSPI
2021-06-29,3305.26,3305.42,3276.63,3286.68,1213046,0.0,KOSPI,KOSPI
2021-06-30,3288.63,3305.73,3288.63,3296.68,1610375,0.0,KOSPI,KOSPI
2021-07-01,3297.92,3300.12,3278.1,3282.06,1159231,0.0,KOSPI,KOSPI
2021-07-02,3282.81,3295.68,3278.19,3281.78,1019998,0.0,KOSPI,KOSPI
2021-07-05,3285.29,3298.93,3285.29,3293.21,850406,0.0,KOSPI,KOSPI
2021-07-06,3295.44,3313.51,3295.44,3305.21,1029465,0.0,KOSPI,KOSPI
2021-07-07,3303.59,3303.59,3277.66,3285.34,1147641,0.0,KOSPI,KOSPI
2021-07-08,3287.68,3295.71,3252.41,3252.68,1516034,0.0,KOSPI,KOSPI
2021-07-09,3245.52,3245.52,3188.8,3217.95,1308364,0.0,KOSPI,KOSPI
2021-07-12,3227.51,3251.45,3227.51,3246.47,1135042,0.0,KOSPI,KOSPI
2021-07-13,3253.24,3273.9,3253.24,3271.38,1150101,0.0,KOSPI,KOSPI
2021-07-14,3270.09,3270.09,3250.45,3264.81,908953,0.0,KOSPI,KOSPI
2021-07-15,3269.33,3286.58,3263.09,3286.22,1172430,0.0,KOSPI,KOSPI
2021-07-16,3282.89,3282.89,3259.32,3276.91,1066507,0.0,KOSPI,KOSPI
2021-07-19,3258.87,3258.87,3236.39,3244.04,1095559,0.0,KOSPI,KOSPI
2021-07-20,3223.24,3234.8,3214.42,3232.7,979670,0.0,KOSPI,KOSPI
2021-07-21,3251.13,3252.25,3215.91,3215.91,990326,0.0,KOSPI,KOSPI
2021-07-22,3235.17,3253.75,3235.17,3250.21,712983,0.0,KOSPI,KOSPI
2021-07-23,3253.44,3264.01,3246.09,3254.42,805048,0.0,KOSPI,KOSPI
2021-07-26,3265.99,3265.99,3224.95,3224.95,826066,0.0,KOSPI,KOSPI
2021-07-27,3244.43,3252.85,3230.75,3232.53,991938,0.0,KOSPI,KOSPI
2021-07-28,3226.06,3243.21,3210.9,3236.86,868602,0.0,KOSPI,KOSPI
2021-07-29,3248.49,3252.26,3232.5,3242.65,694823,0.0,KOSPI,KOSPI
2021-07-30,3234.37,3234.66,3202.32,3202.32,687861,0.0,KOSPI,KOSPI
2021-08-02,3218.42,3223.04,3194.0,3223.04,561003,0.0,KOSPI,KOSPI
2021-08-03,3221.57,3237.14,3213.2,3237.14,653512,0.0,KOSPI,KOSPI
2021-08-04,3246.65,3283.14,3237.55,3280.38,632241,0.0,KOSPI,KOSPI
2021-08-05,3283.25,3296.17,3273.33,3276.13,680941,0.0,KOSPI,KOSPI
2021-08-06,3277.06,3288.17,3261.93,3270.36,941361,0.0,KOSPI,KOSPI
2021-08-09,3258.1,3275.15,3251.74,3260.42,707654,0.0,KOSPI,KOSPI
2021-08-10,3272.44,3272.44,3232.46,3243.19,730349,0.0,KOSPI,KOSPI
2021-08-11,3235.36,3250.21,3217.65,3220.62,618092,0.0,KOSPI,KOSPI
2021-08-12,3213.58,3229.59,3202.11,3208.38,643282,0.0,KOSPI,KOSPI
2021-08-13,3205.75,3209.72,3146.76,3171.29,696468,0.0,KOSPI,KOSPI
2021-08-17,3169.74,3179.49,3134.48,3143.09,690842,0.0,KOSPI,KOSPI
2021-08-18,3141.98,3175.88,3124.56,3158.93,622791,0.0,KOSPI,KOSPI
2021-08-19,3140.01,3158.0,3097.83,3097.83,655629,0.0,KOSPI,KOSPI
2021-08-20,3111.1,3122.09,3049.03,3060.51,672088,0.0,KOSPI,KOSPI
2021-08-23,3086.81,3111.81,3064.65,3090.21,570979,0.0,KOSPI,KOSPI
2021-08-24,3119.7,3142.58,3115.23,3138.3,586535,0.0,KOSPI,KOSPI
2021-08-25,3148.13,3161.0,3124.25,3146.81,624688,0.0,KOSPI,KOSPI
2021-08-26,3151.3,3159.37,3121.04,3128.53,727719,0.0,KOSPI,KOSPI
2021-08-27,3116.29,3143.01,3106.97,3133.9,520668,0.0,KOSPI,KOSPI
2021-08-30,3160.87,3164.87,3132.77,3144.19,602858,0.0,KOSPI,KOSPI
2021-08-31,3144.49,3199.89,3130.3,3199.27,661221,0.0,KOSPI,KOSPI
2021-09-01,3195.67,3215.13,3185.8,3207.02,746705,0.0,KOSPI,KOSPI
2021-09-02,3198.03,3204.01,3171.78,3175.85,757859,0.0,KOSPI,KOSPI
2021-09-03,3189.71,3203.08,3181.64,3201.06,641510,0.0,KOSPI,KOSPI
2021-09-06,3196.3,3206.25,3186.79,3203.33,726190,0.0,KOSPI,KOSPI
2021-09-07,3200.07,3201.76,3176.81,3187.42,760159,0.0,KOSPI,KOSPI
2021-09-08,3178.74,3187.55,3157.07,3162.99,859889,0.0,KOSPI,KOSPI
2021-09-09,3146.64,3158.6,3111.49,3114.7,927368,0.0,KOSPI,KOSPI
2021-09-10,3121.09,3131.54,3103.38,3125.76,723085,0.0,KOSPI,KOSPI
2021-09-13,3117.35,3139.13,3109.01,3127.86,732269,0.0,KOSPI,KOSPI
2021-09-14,3137.32,3164.31,3137.32,3148.83,713227,0.0,KOSPI,KOSPI
2021-09-15,3147.21,3164.01,3138.8,3153.4,616557,0.0,KOSPI,KOSPI
2021-09-16,3165.38,3167.68,3126.65,3130.09,612873,0.0,KOSPI,KOSPI
2021-09-17,3127.75,3142.13,3112.51,3140.51,589244,0.0,KOSPI,KOSPI
2021-09-23,3123.64,3131.63,3107.98,3127.58,623841,0.0,KOSPI,KOSPI
2021-09-24,3140.73,3146.86,3119.4,3125.24,753222,0.0,KOSPI,KOSPI
2021-09-27,3121.7,3146.35,3119.26,3133.64,883229,0.0,KOSPI,KOSPI
2021-09-28,3133.4,3134.46,3095.72,3097.92,894913,0.0,KOSPI,KOSPI
2021-09-29,3055.5,3069.04,3030.6,3060.27,821557,0.0,KOSPI,KOSPI
2021-09-30,3054.87,3079.43,3046.43,3068.82,885818,0.0,KOSPI,KOSPI
2021-10-01,3056.21,3062.6,3015.01,3019.18,855481,0.0,KOSPI,KOSPI
2021-10-05,2998.17,2998.17,2940.59,2962.17,840557,0.0,KOSPI,KOSPI
2021-10-06,2986.06,2993.47,2908.3,2908.31,901721,0.0,KOSPI,KOSPI
2021-10-07,2936.87,2961.53,2927.6,2959.46,595381,0.0,KOSPI,KOSPI
2021-10-08,2977.82,2978.08,2949.01,2956.3,668946,0.0,KOSPI,KOSPI
2021-10-12,2950.22,2950.94,2901.51,2916.38,660180,0.0,KOSPI,KOSPI
2021-10-13,2913.34,2953.33,2909.47,2944.41,752132,0.0,KOSPI,KOSPI
2021-10-14,2968.87,2988.97,2962.33,2988.64,617170,0.0,KOSPI,KOSPI
2021-10-15,3012.62,3021.9,2999.33,3015.06,857797,0.0,KOSPI,KOSPI
2021-10-18,3017.48,3021.17,2990.44,3006.68,926369,0.0,KOSPI,KOSPI
2021-10-19,3022.23,3034.53,3014.19,3029.04,845703,0.0,KOSPI,KOSPI
2021-10-20,3043.13,3047.24,3012.97,3013.13,680326,0.0,KOSPI,KOSPI
2021-10-21,3012.28,3025.88,3002.74,3007.33,887369,0.0,KOSPI,KOSPI
2021-10-22,3005.36,3018.7,2996.26,3006.16,695272,0.0,KOSPI,KOSPI
2021-10-25,3001.1,3025.27,2983.29,3020.54,791795,0.0,KOSPI,KOSPI
2021-10-26,3039.82,3051.65,3030.53,3049.08,564559,0.0,KOSPI,KOSPI
2021-10-27,3045.83,3049.02,3019.0,3025.49,607875,0.0,KOSPI,KOSPI
2021-10-28,3023.17,3034.42,3009.55,3009.55,617256,0.0,KOSPI,KOSPI
2021-10-29,3025.67,3030.17,2965.4,2970.68,545833,0.0,KOSPI,KOSPI
