date,open,high,low,close,volume,foreign_ownership,code,name,source
2023-12-04,168500,169100,162400,163700,196288,16.18,018260,Samsung SDS,naver-finance
2023-12-05,162800,166900,161200,165800,145104,16.21,018260,Samsung SDS,naver-finance
2023-12-06,165800,166400,162600,163800,121663,16.23,018260,Samsung SDS,naver-finance
2023-12-07,162300,164500,160100,163300,124737,16.25,018260,Samsung SDS,naver-finance
2023-12-08,163300,167600,161400,165600,124822,16.25,018260,Samsung SDS,naver-finance
2023-12-11,167000,172200,166800,172000,243921,16.25,018260,Samsung SDS,naver-finance
2023-12-12,172000,173300,170600,170600,114638,16.21,018260,Samsung SDS,naver-finance
2023-12-13,172200,173000,170200,172000,111313,16.22,018260,Samsung SDS,naver-finance
2023-12-14,173800,174000,167800,170500,285313,16.29,018260,Samsung SDS,naver-finance
2023-12-15,170500,170800,164500,164800,245012,16.3,018260,Samsung SDS,naver-finance
2023-12-18,164100,169400,163200,168000,152372,16.34,018260,Samsung SDS,naver-finance
2023-12-19,167300,167900,165200,166700,81004,16.41,018260,Samsung SDS,naver-finance
2023-12-20,167800,169000,166200,167700,103463,16.39,018260,Samsung SDS,naver-finance
2023-12-21,166500,167700,165600,167700,58984,16.69,018260,Samsung SDS,naver-finance
2023-12-22,168400,173000,166400,171700,146459,16.69,018260,Samsung SDS,naver-finance
2023-12-26,172000,172800,168300,169900,111676,16.7,018260,Samsung SDS,naver-finance
2023-12-27,168700,170200,165200,168700,117843,16.73,018260,Samsung SDS,naver-finance
2023-12-28,168700,170100,164900,170000,140618,16.81,018260,Samsung SDS,naver-finance
2024-01-02,168400,171600,166900,169600,93766,16.8,018260,Samsung SDS,naver-finance
2024-01-03,168200,169000,163100,163500,157487,17.09,018260,Samsung SDS,naver-finance
2024-01-04,163000,166000,162000,164800,97291,17.12,018260,Samsung SDS,naver-finance
2024-01-05,163800,164600,160700,162100,64571,17.17,018260,Samsung SDS,naver-finance
2024-01-08,163500,172900,162500,169800,234304,17.17,018260,Samsung SDS,naver-finance
2024-01-09,172600,172700,168200,168200,129022,17.16,018260,Samsung SDS,naver-finance
2024-01-10,168400,172500,168400,171500,150945,17.16,018260,Samsung SDS,naver-finance
2024-01-11,168500,170200,164100,166000,1948167,18.85,018260,Samsung SDS,naver-finance
2024-01-12,166500,171500,165600,169900,241438,18.7,018260,Samsung SDS,naver-finance
2024-01-15,169900,172900,168000,171500,218717,18.61,018260,Samsung SDS,naver-finance
2024-01-16,170600,171400,166600,167700,160296,18.56,018260,Samsung SDS,naver-finance
2024-01-17,169400,172000,164600,165100,163291,18.54,018260,Samsung SDS,naver-finance
2024-01-18,165000,168400,164300,166700,130704,18.51,018260,Samsung SDS,naver-finance
2024-01-19,167900,170300,165100,166600,139355,18.51,018260,Samsung SDS,naver-finance
2024-01-22,166700,168100,162900,164700,181631,18.56,018260,Samsung SDS,naver-finance
2024-01-23,165800,166100,162100,163500,98794,18.53,018260,Samsung SDS,naver-finance
2024-01-24,162200,162500,153600,158600,261432,18.59,018260,Samsung SDS,naver-finance
2024-01-25,157700,160400,155000,157400,147219,18.57,018260,Samsung SDS,naver-finance
2024-01-26,158900,161400,157700,157800,154445,18.5,018260,Samsung SDS,naver-finance
2024-01-29,157500,157500,150800,153100,242381,18.44,018260,Samsung SDS,naver-finance
2024-01-30,154100,154500,149700,152400,132429,18.44,018260,Samsung SDS,naver-finance
2024-01-31,151300,153400,150600,152000,106186,18.43,018260,Samsung SDS,naver-finance
2024-02-01,150900,156100,150000,154800,305166,18.31,018260,Samsung SDS,naver-finance
2024-02-02,153300,161400,153100,160200,202024,18.19,018260,Samsung SDS,naver-finance
2024-02-05,159900,159900,155800,157200,142857,18.18,018260,Samsung SDS,naver-finance
2024-02-06,156200,158000,155300,156600,80393,18.16,018260,Samsung SDS,naver-finance
2024-02-07,158500,159400,154200,155100,109112,18.17,018260,Samsung SDS,naver-finance
2024-02-08,156000,156700,152700,153000,150404,18.21,018260,Samsung SDS,naver-finance
2024-02-13,154000,156700,152900,153200,106734,18.19,018260,Samsung SDS,naver-finance
2024-02-14,152200,152400,148000,150500,158802,18.22,018260,Samsung SDS,naver-finance
2024-02-15,152100,152300,149700,150300,82352,18.23,018260,Samsung SDS,naver-finance
2024-02-16,152000,161200,151800,157600,286822,18.24,018260,Samsung SDS,naver-finance
2024-02-19,157600,165500,157500,163100,222491,18.31,018260,Samsung SDS,naver-finance
