date,open,high,low,close,volume,foreign_ownership,code,name
2024-11-04,131100,133200,130500,132500,38381,1.62,307950,Hyundai AutoEver
2024-11-05,132500,133300,132000,132600,19221,1.62,307950,Hyundai AutoEver
2024-11-06,133500,133600,128700,128700,50366,1.61,307950,Hyundai AutoEver
2024-11-07,130800,141500,130800,138700,186508,1.69,307950,Hyundai AutoEver
2024-11-08,138700,144400,137000,143500,95711,1.68,307950,Hyundai AutoEver
2024-11-11,144200,144400,140100,142300,63645,1.7,307950,Hyundai AutoEver
2024-11-12,143200,145400,137200,137800,80791,1.67,307950,Hyundai AutoEver
2024-11-13,136200,136700,128800,129000,103728,1.63,307950,Hyundai AutoEver
2024-11-14,129300,133200,128400,128400,48492,1.62,307950,Hyundai AutoEver
2024-11-15,127600,129400,123000,127800,85035,1.65,307950,Hyundai AutoEver
2024-11-18,129300,142900,128500,141100,165200,1.64,307950,Hyundai AutoEver
2024-11-19,144000,149800,142800,147900,246916,1.66,307950,Hyundai AutoEver
2024-11-20,148500,148500,144600,146000,68149,1.64,307950,Hyundai AutoEver
2024-11-21,145800,145900,142600,143500,42038,1.65,307950,Hyundai AutoEver
2024-11-22,144400,145900,142100,145800,46861,1.66,307950,Hyundai AutoEver
2024-11-25,146500,146500,141900,143200,70854,1.65,307950,Hyundai AutoEver
2024-11-26,143500,143500,139200,140400,46958,1.64,307950,Hyundai AutoEver
2024-11-27,140700,146700,138600,145700,88895,1.65,307950,Hyundai AutoEver
2024-11-28,145700,145700,140200,141400,50654,1.61,307950,Hyundai AutoEver
2024-11-29,142300,143000,139200,140000,37498,1.6,307950,Hyundai AutoEver
2024-12-02,139400,141500,133100,133100,82828,1.56,307950,Hyundai AutoEver
2024-12-03,134000,134700,132900,134200,44220,1.58,307950,Hyundai AutoEver
2024-12-04,130200,133500,130100,131800,48149,1.59,307950,Hyundai AutoEver
2024-12-05,132800,132900,130200,131200,31247,1.6,307950,Hyundai AutoEver
2024-12-06,131200,132400,124500,129200,80307,1.63,307950,Hyundai AutoEver
2024-12-09,124100,128600,123800,124500,67183,1.66,307950,Hyundai AutoEver
2024-12-10,124900,131000,124900,130600,45292,1.73,307950,Hyundai AutoEver
2024-12-11,131000,133200,129100,132900,31707,1.71,307950,Hyundai AutoEver
2024-12-12,135300,136300,132400,134200,55268,1.68,307950,Hyundai AutoEver
2024-12-13,134000,134000,130600,132600,53199,1.67,307950,Hyundai AutoEver
2024-12-16,135500,137100,131500,131900,49022,1.64,307950,Hyundai AutoEver
2024-12-17,132600,133300,129700,130500,63001,1.64,307950,Hyundai AutoEver
2024-12-18,130500,137400,130300,137100,103660,1.71,307950,Hyundai AutoEver
2024-12-19,133600,136600,132600,134400,53807,1.68,307950,Hyundai AutoEver
2024-12-20,133100,134400,130300,131500,46158,1.67,307950,Hyundai AutoEver
2024-12-23,132100,133300,130500,132300,23837,1.67,307950,Hyundai AutoEver
2024-12-24,132400,132700,129000,129000,68686,1.63,307950,Hyundai AutoEver
2024-12-26,129600,130000,126400,127500,53395,1.65,307950,Hyundai AutoEver
2024-12-27,127400,128600,125600,126600,33315,1.65,307950,Hyundai AutoEver
2024-12-30,126500,127100,125000,126100,44930,1.67,307950,Hyundai AutoEver
2025-01-02,126700,135000,126700,135000,116483,1.82,307950,Hyundai AutoEver
2025-01-03,134000,134500,132000,132300,55805,1.77,307950,Hyundai AutoEver
2025-01-06,133800,134800,132100,134500,41395,1.78,307950,Hyundai AutoEver
2025-01-07,134600,135500,131800,132400,65213,1.73,307950,Hyundai AutoEver
2025-01-08,131700,134300,130800,133300,52866,1.78,307950,Hyundai AutoEver
2025-01-09,133300,135300,132700,133500,72873,1.78,307950,Hyundai AutoEver
2025-01-10,138300,146600,138200,142000,401806,1.94,307950,Hyundai AutoEver
2025-01-13,141300,143400,138600,141100,107881,1.85,307950,Hyundai AutoEver
2025-01-14,142000,143800,139900,140400,52317,1.8,307950,Hyundai AutoEver
2025-01-15,143000,144400,140300,140300,83175,1.75,307950,Hyundai AutoEver
2025-01-16,142400,143100,141000,141500,42262,1.73,307950,Hyundai AutoEver
2025-01-17,140700,140700,137600,138000,49022,1.73,307950,Hyundai AutoEver
2025-01-20,138500,138500,136000,136400,44524,1.75,307950,Hyundai AutoEver
2025-01-21,136400,139200,135800,138600,55656,1.77,307950,Hyundai AutoEver
2025-01-22,138400,140300,137200,139700,38668,1.79,307950,Hyundai AutoEver
2025-01-23,139700,139800,136900,137700,39484,1.77,307950,Hyundai AutoEver
2025-01-24,137900,142300,137000,138300,60123,1.78,307950,Hyundai AutoEver
2025-01-31,138500,143600,138200,143000,91432,1.84,307950,Hyundai AutoEver
2025-02-03,140200,146800,138000,144400,133052,1.81,307950,Hyundai AutoEver
2025-02-04,145700,145800,140400,141300,101216,1.71,307950,Hyundai AutoEver
2025-02-05,142300,149900,142300,149900,191494,1.92,307950,Hyundai AutoEver
2025-02-06,149900,149900,145800,147800,86075,1.87,307950,Hyundai AutoEver
2025-02-07,147800,150200,146100,147700,63882,1.84,307950,Hyundai AutoEver
2025-02-10,147300,153200,147200,150800,143731,1.9,307950,Hyundai AutoEver
2025-02-11,150800,151400,148000,148300,56722,1.87,307950,Hyundai AutoEver
2025-02-12,146900,147100,141600,141700,114805,1.8,307950,Hyundai AutoEver
2025-02-13,142800,144600,141400,141500,78694,1.82,307950,Hyundai AutoEver
2025-02-14,142800,142800,139200,140500,53070,1.83,307950,Hyundai AutoEver
2025-02-17,140000,140500,138400,138900,67416,1.82,307950,Hyundai AutoEver
2025-02-18,138600,140500,138300,140500,48578,1.86,307950,Hyundai AutoEver
2025-02-19,140000,141100,139300,140300,50589,1.87,307950,Hyundai AutoEver
2025-02-20,140500,141600,136800,137000,85273,1.81,307950,Hyundai AutoEver
2025-02-21,138100,140500,137400,138900,50687,1.83,307950,Hyundai AutoEver
2025-02-24,137900,139800,136600,139000,33992,1.84,307950,Hyundai AutoEver
2025-02-25,138900,138900,136900,136900,37168,1.81,307950,Hyundai AutoEver
2025-02-26,136800,136900,134200,134800,67826,1.81,307950,Hyundai AutoEver
2025-02-27,134800,135400,133800,134500,31400,1.82,307950,Hyundai AutoEver
2025-02-28,133300,133900,131500,131700,43065,1.83,307950,Hyundai AutoEver
2025-03-04,129100,133000,129000,131500,25718,1.85,307950,Hyundai AutoEver
2025-03-05,131600,134200,131300,132200,33978,1.88,307950,Hyundai AutoEver
2025-03-06,133400,136800,132100,133000,82683,1.9,307950,Hyundai AutoEver
2025-03-07,131400,135500,131400,133000,34965,1.88,307950,Hyundai AutoEver
2025-03-10,133000,134000,130100,130300,54851,1.84,307950,Hyundai AutoEver
2025-03-11,128300,131000,127300,129600,38972,1.86,307950,Hyundai AutoEver
2025-03-12,129600,137500,129600,134800,75336,1.9,307950,Hyundai AutoEver
2025-03-13,136000,139300,134600,136700,95390,1.91,307950,Hyundai AutoEver
2025-03-14,136700,138100,134900,136700,26470,1.89,307950,Hyundai AutoEver
2025-03-17,137200,137300,134100,134200,35664,1.86,307950,Hyundai AutoEver
2025-03-18,134700,134800,132100,132400,37761,1.85,307950,Hyundai AutoEver
2025-03-19,132400,133300,132300,133000,23774,1.84,307950,Hyundai AutoEver
2025-03-20,133900,135000,131200,131600,35795,1.84,307950,Hyundai AutoEver
2025-03-21,131200,132700,131200,131900,27324,1.86,307950,Hyundai AutoEver
2025-03-24,132600,136600,131600,134400,49389,1.9,307950,Hyundai AutoEver
2025-03-25,139000,139200,134500,135200,77262,1.92,307950,Hyundai AutoEver
2025-03-26,135900,136400,134900,135200,23154,1.91,307950,Hyundai AutoEver
2025-03-27,133500,134400,131000,131100,34512,1.88,307950,Hyundai AutoEver
2025-03-28,131000,131000,127700,128000,50955,1.82,307950,Hyundai AutoEver
2025-03-31,125500,127500,119000,119300,65753,1.76,307950,Hyundai AutoEver
2025-04-01,120100,121100,117800,120300,36100,1.73,307950,Hyundai AutoEver
2025-04-02,120300,121000,118400,118500,21955,1.72,307950,Hyundai AutoEver
2025-04-03,114700,119400,114500,118400,35965,1.71,307950,Hyundai AutoEver
2025-04-04,116200,119900,116200,119400,28019,1.76,307950,Hyundai AutoEver
2025-04-07,115000,116400,111200,111500,44460,1.7,307950,Hyundai AutoEver
2025-04-08,112500,114900,110100,110100,23268,1.68,307950,Hyundai AutoEver
2025-04-09,107200,112900,107000,112000,40438,1.7,307950,Hyundai AutoEver
2025-04-10,116700,118500,115200,118400,29939,1.7,307950,Hyundai AutoEver
2025-04-11,115100,119300,114200,118600,46768,1.72,307950,Hyundai AutoEver
2025-04-14,119200,120000,117600,118900,34784,1.74,307950,Hyundai AutoEver
2025-04-15,121200,122400,120100,120200,35757,1.73,307950,Hyundai AutoEver
2025-04-16,119500,122900,118100,120400,52675,1.84,307950,Hyundai AutoEver
2025-04-17,119200,120600,117300,118300,42676,1.8,307950,Hyundai AutoEver
2025-04-18,118600,120000,117800,120000,29064,1.85,307950,Hyundai AutoEver
2025-04-21,120000,120700,118200,119000,13569,1.84,307950,Hyundai AutoEver
2025-04-22,117300,118900,117300,117800,11627,1.84,307950,Hyundai AutoEver
2025-04-23,119000,119800,117500,119800,27583,1.88,307950,Hyundai AutoEver
2025-04-24,120500,120600,116900,117900,36084,1.85,307950,Hyundai AutoEver
2025-04-25,118500,119100,117800,118700,21340,1.9,307950,Hyundai AutoEver
2025-04-28,120300,121100,117000,117800,42980,1.91,307950,Hyundai AutoEver
2025-04-29,117800,123400,114300,122300,129302,1.96,307950,Hyundai AutoEver
2025-04-30,123300,124500,120600,123200,57287,1.89,307950,Hyundai AutoEver
2025-05-02,123400,126800,123400,125400,45772,1.85,307950,Hyundai AutoEver
2025-05-07,125500,127500,123800,126800,33779,1.83,307950,Hyundai AutoEver
2025-05-08,127000,130200,127000,129000,47143,1.86,307950,Hyundai AutoEver
