date,open,high,low,close,volume,foreign_ownership,code,name,source
2023-12-04,2522.22,2525.63,2510.52,2514.95,498861,0.0,KOSPI,KOSPI,naver-finance
2023-12-05,2507.45,2509.74,2492.55,2494.28,427067,0.0,KOSPI,KOSPI,naver-finance
2023-12-06,2503.57,2509.67,2495.38,2495.38,390989,0.0,KOSPI,KOSPI,naver-finance
2023-12-07,2493.14,2499.73,2481.0,2492.07,446877,0.0,KOSPI,KOSPI,naver-finance
2023-12-08,2510.24,2521.58,2507.14,2517.85,431797,0.0,KOSPI,KOSPI,naver-finance
2023-12-11,2524.79,2528.89,2512.45,2525.36,435004,0.0,KOSPI,KOSPI,naver-finance
2023-12-12,2535.11,2543.06,2529.74,2535.27,378034,0.0,KOSPI,KOSPI,naver-finance
2023-12-13,2531.23,2531.23,2509.89,2510.66,377934,0.0,KOSPI,KOSPI,naver-finance
2023-12-14,2547.74,2549.65,2532.16,2544.18,530123,0.0,KOSPI,KOSPI,naver-finance
2023-12-15,2558.44,2574.23,2555.3,2563.56,465314,0.0,KOSPI,KOSPI,naver-finance
2023-12-18,2568.77,2573.13,2556.05,2566.86,384828,0.0,KOSPI,KOSPI,naver-finance
2023-12-19,2564.81,2570.06,2556.52,2568.55,392497,0.0,KOSPI,KOSPI,naver-finance
2023-12-20,2586.99,2615.38,2584.85,2614.3,570423,0.0,KOSPI,KOSPI,naver-finance
2023-12-21,2598.37,2610.81,2587.16,2600.02,578335,0.0,KOSPI,KOSPI,naver-finance
2023-12-22,2617.72,2621.37,2599.51,2599.51,465967,0.0,KOSPI,KOSPI,naver-finance
2023-12-26,2609.44,2612.14,2594.65,2602.59,440428,0.0,KOSPI,KOSPI,naver-finance
2023-12-27,2599.35,2613.5,2590.08,2613.5,349733,0.0,KOSPI,KOSPI,naver-finance
2023-12-28,2616.27,2655.28,2611.72,2655.28,460087,0.0,KOSPI,KOSPI,naver-finance
2024-01-02,2645.47,2675.8,2641.88,2669.81,409872,0.0,KOSPI,KOSPI,naver-finance
2024-01-03,2643.54,2643.72,2607.31,2607.31,463132,0.0,KOSPI,KOSPI,naver-finance
2024-01-04,2592.44,2602.64,2580.09,2587.02,770176,0.0,KOSPI,KOSPI,naver-finance
2024-01-05,2586.89,2592.29,2572.6,2578.08,522290,0.0,KOSPI,KOSPI,naver-finance
2024-01-08,2584.23,2591.68,2566.34,2567.82,320144,0.0,KOSPI,KOSPI,naver-finance
2024-01-09,2598.31,2599.37,2556.0,2561.24,791214,0.0,KOSPI,KOSPI,naver-finance
2024-01-10,2563.97,2568.19,2539.82,2541.98,570021,0.0,KOSPI,KOSPI,naver-finance
2024-01-11,2543.03,2557.3,2540.27,2540.27,788423,0.0,KOSPI,KOSPI,naver-finance
2024-01-12,2536.55,2543.83,2517.76,2525.05,790177,0.0,KOSPI,KOSPI,naver-finance
2024-01-15,2525.69,2536.06,2515.84,2525.99,802102,0.0,KOSPI,KOSPI,naver-finance
2024-01-16,2516.27,2524.35,2491.13,2497.59,659579,0.0,KOSPI,KOSPI,naver-finance
2024-01-17,2501.23,2503.91,2435.34,2435.9,965595,0.0,KOSPI,KOSPI,naver-finance
2024-01-18,2439.96,2453.97,2429.12,2440.04,571507,0.0,KOSPI,KOSPI,naver-finance
2024-01-19,2468.43,2479.0,2455.5,2472.74,518807,0.0,KOSPI,KOSPI,naver-finance
