date,open,high,low,close,volume,foreign_ownership,code,name,source
2020-11-23,509096,520845,505180,514971,383015,43.68,006400,Samsung SDI,naver-finance
2020-11-24,523782,540426,519866,540426,623707,43.88,006400,Samsung SDI,naver-finance
2020-11-25,549236,551194,519865,526719,807914,43.69,006400,Samsung SDI,naver-finance
2020-11-26,533572,539447,524761,538468,408798,43.75,006400,Samsung SDI,naver-finance
2020-11-27,534551,540426,526719,539447,343205,43.8,006400,Samsung SDI,naver-finance
2020-11-30,543362,544341,521824,521824,632397,43.49,006400,Samsung SDI,naver-finance
2020-12-01,531614,535531,523782,535531,250297,43.52,006400,Samsung SDI,naver-finance
2020-12-02,535530,541405,530635,540426,389953,43.54,006400,Samsung SDI,naver-finance
2020-12-03,538467,541405,533572,540426,358152,43.53,006400,Samsung SDI,naver-finance
2020-12-04,541405,541405,533572,539447,343071,43.5,006400,Samsung SDI,naver-finance
2020-12-07,540426,541405,529656,534552,324929,43.51,006400,Samsung SDI,naver-finance
2020-12-08,539446,559027,538467,541405,605415,43.61,006400,Samsung SDI,naver-finance
2020-12-09,550215,557069,545320,554132,422255,43.7,006400,Samsung SDI,naver-finance
2020-12-10,544341,556090,541404,548258,511109,43.71,006400,Samsung SDI,naver-finance
2020-12-11,558048,558048,539446,544342,356628,43.63,006400,Samsung SDI,naver-finance
2020-12-14,541405,541405,531614,537489,291727,43.63,006400,Samsung SDI,naver-finance
2020-12-15,540426,542384,533572,540426,303717,43.71,006400,Samsung SDI,naver-finance
2020-12-16,548257,552174,542383,552174,373239,43.89,006400,Samsung SDI,naver-finance
2020-12-17,552173,555111,545320,555111,329908,43.93,006400,Samsung SDI,naver-finance
2020-12-18,559027,559027,547278,556090,258070,43.94,006400,Samsung SDI,naver-finance
2020-12-21,556090,557069,549236,554132,248453,43.97,006400,Samsung SDI,naver-finance
2020-12-22,552174,553153,541404,543363,246864,43.96,006400,Samsung SDI,naver-finance
2020-12-23,547279,547279,531614,542384,270204,44.01,006400,Samsung SDI,naver-finance
2020-12-24,545320,557069,542383,551195,369344,44.15,006400,Samsung SDI,naver-finance
2020-12-28,549237,551195,544341,547279,322378,44.14,006400,Samsung SDI,naver-finance
2020-12-29,560006,590356,551194,588398,845358,44.36,006400,Samsung SDI,naver-finance
2020-12-30,589377,616790,582523,614832,514356,44.32,006400,Samsung SDI,naver-finance
2021-01-04,646161,667700,626581,656931,709615,44.3,006400,Samsung SDI,naver-finance
