date,open,high,low,close,volume,foreign_ownership,code,name
2022-01-27,597000,598000,450000,505000,15946992,4.26,373220,LG Energy Solution
2022-01-28,476000,483000,445000,450000,4559773,3.91,373220,LG Energy Solution
2022-02-03,458000,495500,441000,477000,2918435,3.98,373220,LG Energy Solution
2022-02-04,476500,505000,476000,504000,2088996,4.03,373220,LG Energy Solution
2022-02-07,520000,548000,511000,548000,1911176,4.08,373220,LG Energy Solution
2022-02-08,554000,577000,524000,542000,2583335,4.06,373220,LG Energy Solution
2022-02-09,550000,557000,505000,511000,2070704,4.07,373220,LG Energy Solution
2022-02-10,507000,507000,471500,474500,2306815,3.94,373220,LG Energy Solution
2022-02-11,463500,484000,457000,482000,1411055,3.97,373220,LG Energy Solution
2022-02-14,473000,482000,459500,463000,3285402,4.09,373220,LG Energy Solution
2022-02-15,460000,468000,450000,451500,825406,4.0,373220,LG Energy Solution
2022-02-16,464000,465000,449500,455500,961669,3.86,373220,LG Energy Solution
2022-02-17,454500,460000,447000,454500,711183,3.82,373220,LG Energy Solution
2022-02-18,448500,454500,448000,454500,418728,3.82,373220,LG Energy Solution
2022-02-21,450000,453000,447500,453000,327509,3.8,373220,LG Energy Solution
2022-02-22,444500,448000,440000,440000,557179,3.74,373220,LG Energy Solution
2022-02-23,443500,446000,438000,442000,381560,3.72,373220,LG Energy Solution
2022-02-24,435000,438000,416000,416500,883314,3.66,373220,LG Energy Solution
2022-02-25,425000,430000,418500,420000,465140,3.66,373220,LG Energy Solution
2022-02-28,404500,422000,404000,412000,970088,3.59,373220,LG Energy Solution
2022-03-02,411000,434500,408500,434000,895460,3.59,373220,LG Energy Solution
2022-03-03,439500,441000,430000,437000,460544,3.57,373220,LG Energy Solution
2022-03-04,433500,436500,427000,428500,310930,3.57,373220,LG Energy Solution
2022-03-07,420500,421000,412000,414000,370588,3.56,373220,LG Energy Solution
2022-03-08,406000,417000,402500,410500,393413,3.57,373220,LG Energy Solution
2022-03-10,421000,430500,417500,417500,1076446,3.51,373220,LG Energy Solution
2022-03-11,411500,412000,390500,391000,1811373,3.3,373220,LG Energy Solution
2022-03-14,385000,385500,361500,363500,1999479,2.97,373220,LG Energy Solution
2022-03-15,363000,370000,355000,359500,1064506,2.91,373220,LG Energy Solution
2022-03-16,367000,367500,360000,363500,625328,2.9,373220,LG Energy Solution
2022-03-17,374000,381500,373000,376000,816118,2.9,373220,LG Energy Solution
2022-03-18,377500,384000,370500,382000,643915,2.88,373220,LG Energy Solution
2022-03-21,385000,397500,384000,386000,655247,2.89,373220,LG Energy Solution
2022-03-22,388500,399000,388000,397500,413972,2.91,373220,LG Energy Solution
2022-03-23,403000,407500,398000,407000,523438,2.93,373220,LG Energy Solution
2022-03-24,405000,410000,398000,408000,320746,2.93,373220,LG Energy Solution
2022-03-25,418500,444000,417500,439000,1528600,3.05,373220,LG Energy Solution
2022-03-28,439000,443000,430000,436500,481311,3.06,373220,LG Energy Solution
2022-03-29,443000,448500,440500,441000,375894,3.06,373220,LG Energy Solution
2022-03-30,444500,445000,427000,440500,440195,3.06,373220,LG Energy Solution
2022-03-31,437000,444000,435000,442000,272318,3.08,373220,LG Energy Solution
2022-04-01,438500,439500,425000,428000,456080,3.04,373220,LG Energy Solution
2022-04-04,422000,440500,417500,438500,362727,3.03,373220,LG Energy Solution
2022-04-05,442500,450000,437000,449000,491410,3.05,373220,LG Energy Solution
2022-04-06,436000,448500,436000,444500,415524,3.04,373220,LG Energy Solution
2022-04-07,438000,442000,431000,436500,316409,3.05,373220,LG Energy Solution
2022-04-08,449000,449000,437500,439500,395489,3.08,373220,LG Energy Solution
2022-04-11,435000,435500,423500,425000,289205,3.08,373220,LG Energy Solution
2022-04-12,417000,421500,410000,411000,382240,3.06,373220,LG Energy Solution
2022-04-13,414000,431500,404000,431000,386194,3.04,373220,LG Energy Solution
2022-04-14,434000,441000,427500,441000,321259,3.03,373220,LG Energy Solution
2022-04-15,435500,445000,431500,435000,307347,3.02,373220,LG Energy Solution
2022-04-18,434000,439500,432500,433000,115652,3.01,373220,LG Energy Solution
2022-04-19,438000,441500,434000,435500,124432,2.98,373220,LG Energy Solution
2022-04-20,437500,438000,432000,436500,202657,3.0,373220,LG Energy Solution
2022-04-21,437500,440000,434500,437000,234128,3.0,373220,LG Energy Solution
2022-04-22,434000,437500,428500,436500,266806,3.03,373220,LG Energy Solution
2022-04-25,430000,436000,428500,433000,254452,3.08,373220,LG Energy Solution
2022-04-26,432000,432000,414500,423500,520529,3.03,373220,LG Energy Solution
2022-04-27,399500,427000,397000,418000,1478354,3.05,373220,LG Energy Solution
2022-04-28,420500,421000,412500,417500,358325,3.06,373220,LG Energy Solution
2022-04-29,418000,426000,414000,417000,332582,3.07,373220,LG Energy Solution
2022-05-02,412500,414500,407000,408500,365546,3.07,373220,LG Energy Solution
