date,open,high,low,close,volume,foreign_ownership,code,name,source
2020-11-23,2560.04,2605.58,2553.7,2602.59,1649443,0.0,KOSPI,KOSPI,naver-finance
2020-11-24,2616.28,2628.52,2605.03,2617.76,1364506,0.0,KOSPI,KOSPI,naver-finance
2020-11-25,2637.34,2642.26,2583.41,2601.54,1410104,0.0,KOSPI,KOSPI,naver-finance
2020-11-26,2605.73,2625.97,2592.43,2625.91,1387435,0.0,KOSPI,KOSPI,naver-finance
2020-11-27,2624.8,2635.0,2618.47,2633.45,1196041,0.0,KOSPI,KOSPI,naver-finance
2020-11-30,2648.05,2648.66,2591.34,2591.34,1311831,0.0,KOSPI,KOSPI,naver-finance
2020-12-01,2613.42,2638.87,2611.67,2634.25,1151129,0.0,KOSPI,KOSPI,naver-finance
2020-12-02,2645.88,2677.26,2644.53,2675.9,1076203,0.0,KOSPI,KOSPI,naver-finance
2020-12-03,2686.38,2696.22,2672.85,2696.22,817065,0.0,KOSPI,KOSPI,naver-finance
2020-12-04,2705.34,2742.77,2705.34,2731.45,1778896,0.0,KOSPI,KOSPI,naver-finance
2020-12-07,2738.11,2754.01,2711.42,2745.44,1499265,0.0,KOSPI,KOSPI,naver-finance
2020-12-08,2745.13,2747.45,2700.92,2700.93,1415239,0.0,KOSPI,KOSPI,naver-finance
2020-12-09,2703.3,2755.47,2703.3,2755.47,1252304,0.0,KOSPI,KOSPI,naver-finance
2020-12-10,2750.34,2765.46,2718.7,2746.46,1227651,0.0,KOSPI,KOSPI,naver-finance
2020-12-11,2754.16,2781.04,2754.16,2770.06,1215239,0.0,KOSPI,KOSPI,naver-finance
2020-12-14,2769.43,2782.79,2755.29,2762.2,1113630,0.0,KOSPI,KOSPI,naver-finance
2020-12-15,2763.65,2769.37,2735.08,2756.82,1093522,0.0,KOSPI,KOSPI,naver-finance
2020-12-16,2763.64,2781.08,2761.5,2771.79,1166637,0.0,KOSPI,KOSPI,naver-finance
2020-12-17,2769.89,2772.71,2742.25,2770.43,1015484,0.0,KOSPI,KOSPI,naver-finance
2020-12-18,2770.95,2782.15,2762.8,2772.18,1059143,0.0,KOSPI,KOSPI,naver-finance
2020-12-21,2771.98,2780.24,2747.09,2778.65,1139513,0.0,KOSPI,KOSPI,naver-finance
2020-12-22,2772.03,2774.22,2733.64,2733.68,1260761,0.0,KOSPI,KOSPI,naver-finance
2020-12-23,2737.74,2769.08,2716.28,2759.82,1121346,0.0,KOSPI,KOSPI,naver-finance
2020-12-24,2762.6,2812.16,2762.6,2806.86,1030890,0.0,KOSPI,KOSPI,naver-finance
2020-12-28,2820.95,2834.59,2799.56,2808.6,1006249,0.0,KOSPI,KOSPI,naver-finance
2020-12-29,2810.55,2823.44,2792.06,2820.51,1046839,0.0,KOSPI,KOSPI,naver-finance
2020-12-30,2820.36,2878.21,2809.35,2873.47,1074033,0.0,KOSPI,KOSPI,naver-finance
2021-01-04,2874.5,2946.54,2869.11,2944.45,1026510,0.0,KOSPI,KOSPI,naver-finance
2021-01-05,2943.67,2990.57,2921.84,2990.57,1519911,0.0,KOSPI,KOSPI,naver-finance
2021-01-06,2993.34,3027.16,2961.37,2968.21,1793418,0.0,KOSPI,KOSPI,naver-finance
2021-01-07,2980.75,3055.28,2980.75,3031.68,1524654,0.0,KOSPI,KOSPI,naver-finance
2021-01-08,3040.11,3161.11,3040.11,3152.18,1297903,0.0,KOSPI,KOSPI,naver-finance
2021-01-11,3161.9,3266.23,3096.19,3148.45,1712525,0.0,KOSPI,KOSPI,naver-finance
2021-01-12,3145.87,3154.79,3047.56,3125.95,1390617,0.0,KOSPI,KOSPI,naver-finance
2021-01-13,3128.26,3164.37,3109.63,3148.29,1578042,0.0,KOSPI,KOSPI,naver-finance
2021-01-14,3148.65,3159.03,3128.72,3149.93,1233182,0.0,KOSPI,KOSPI,naver-finance
2021-01-15,3153.84,3189.9,3085.9,3085.9,1331079,0.0,KOSPI,KOSPI,naver-finance
2021-01-18,3079.9,3079.9,3003.89,3013.93,1472048,0.0,KOSPI,KOSPI,naver-finance
2021-01-19,3013.05,3107.0,3011.32,3092.66,1353312,0.0,KOSPI,KOSPI,naver-finance
2021-01-20,3115.04,3145.01,3077.15,3114.55,1192695,0.0,KOSPI,KOSPI,naver-finance
2021-01-21,3123.27,3163.21,3123.27,3160.84,1360065,0.0,KOSPI,KOSPI,naver-finance
2021-01-22,3163.83,3185.26,3140.6,3140.63,1111222,0.0,KOSPI,KOSPI,naver-finance
2021-01-25,3144.01,3212.22,3142.8,3208.99,1093652,0.0,KOSPI,KOSPI,naver-finance
2021-01-26,3203.96,3209.18,3132.67,3140.31,873023,0.0,KOSPI,KOSPI,naver-finance
2021-01-27,3143.46,3182.53,3118.89,3122.56,924582,0.0,KOSPI,KOSPI,naver-finance
2021-01-28,3114.98,3114.98,3046.64,3069.05,1310454,0.0,KOSPI,KOSPI,naver-finance
2021-01-29,3078.73,3100.22,2962.7,2976.21,995071,0.0,KOSPI,KOSPI,naver-finance
2021-02-01,2976.81,3056.87,2947.24,3056.53,969262,0.0,KOSPI,KOSPI,naver-finance
2021-02-02,3065.56,3138.95,3065.56,3096.81,887313,0.0,KOSPI,KOSPI,naver-finance
2021-02-03,3108.42,3142.26,3091.85,3129.68,901788,0.0,KOSPI,KOSPI,naver-finance
2021-02-04,3135.02,3135.02,3068.46,3087.55,1460945,0.0,KOSPI,KOSPI,naver-finance
2021-02-05,3098.49,3124.62,3081.78,3120.63,1193486,0.0,KOSPI,KOSPI,naver-finance
2021-02-08,3113.63,3128.54,3085.59,3091.24,1277207,0.0,KOSPI,KOSPI,naver-finance
