date,event_day,return,market_return,industry_return,smb,hml,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2021-11-03,-5,0.007375424469989289,0.006105233516956243,0.017360218931904592,0.0144999999999999,-0.0016,-0.0068820483629127936,General Motors,Rivian IPO,0.014257472832902083,-0.0068820483629127936
2021-11-04,-4,0.047142846243722,0.004712520303954415,0.030098049006294425,-0.0002,-0.0138,0.049304967855690586,General Motors,Rivian IPO,-0.002162121611968583,0.042422919492777794
2021-11-05,-3,-0.0020463665268377618,0.0034696089278050124,-0.015652549965906704,0.0068,0.0121999999999999,-0.015886087376863846,General Motors,Rivian IPO,0.013839720850026086,0.02653683211591395
2021-11-08,-2,0.018455194940350417,0.0008537209944432522,0.008305151150718143,0.0002,0.001,0.015479873819946212,General Motors,Rivian IPO,0.0029753211204042052,0.04201670593586016
2021-11-09,-1,-0.016442945760507977,-0.003305371414023428,-0.06007468932914212,-0.0018,0.0046,-0.004480025966923873,General Motors,Rivian IPO,-0.011962919793584104,0.03753667996893629
2021-11-10,0,0.011088391977526202,-0.008044866546158214,-0.005121882135244948,-0.0066,0.0095,0.015210778983902959,General Motors,Rivian IPO,-0.004122387006376757,0.05274745895283925
2021-11-11,1,0.04302343879476944,0.0003235276693500655,0.036493515505587104,0.0053,0.0034,0.03073867516638626,General Motors,Rivian IPO,0.012284763628383181,0.08348613411922551
2021-11-12,2,0.02555810156671634,0.007546844519723317,6.326968939773803e-05,-0.0032,-0.0091,0.027924902543753814,General Motors,Rivian IPO,-0.0023668009770374757,0.11141103666297933
2021-11-15,3,-0.0067823390351222645,0.00034242229518555156,-0.01783987667982531,-0.0052,0.0069999999999999,-0.007005170747229302,General Motors,Rivian IPO,0.00022283171210703712,0.10440586591575003
2021-11-16,4,-0.0057170176810033,0.003957824984497371,0.023091382017605272,0.0004,-0.0068,-0.00786442413070939,General Motors,Rivian IPO,0.0021474064497060885,0.09654144178504065
2021-11-17,5,0.03194377863764686,-0.002429219514628267,-0.004374213111490471,-0.0056999999999999,-0.0026,0.04051561796198251,General Motors,Rivian IPO,-0.008571839324335657,0.13705705974702315
2021-11-18,6,-0.03528863578019503,0.0033964119454403807,-0.016589868620593667,-0.0056,-0.0006,-0.03194968221827481,General Motors,Rivian IPO,-0.003338953561920222,0.10510737752874834
2021-11-19,7,-0.008503169876854955,-0.0017882535035962377,0.0067206202998826015,-0.0017,-0.0131,0.004637023478893849,General Motors,Rivian IPO,-0.013140193355748803,0.10974440100764218
2021-11-22,8,0.03656955257983108,-0.0028151747381706116,0.03937556344226717,-0.0054,0.0278,0.010487519936910876,General Motors,Rivian IPO,0.0260820326429202,0.12023192094455307
2021-11-23,9,-0.015766443334772062,0.0013259941986774049,0.010184573697866517,-0.0052,0.0177,-0.03165335129464489,General Motors,Rivian IPO,0.01588690795987283,0.08857856964990818
2021-11-24,10,-0.013639978124631913,0.00266985624101701,0.013464026868824558,0.0003,-0.0087,-0.010970354535786292,General Motors,Rivian IPO,-0.002669623588845621,0.07760821511412189
2021-11-26,11,-0.03248111436516632,-0.022303172218498646,-0.03742819025577229,-0.0121999999999999,-0.0095,0.011111940568075115,General Motors,Rivian IPO,-0.043593054933241435,0.088720155682197
2021-11-29,12,-0.005152028719085822,0.012266607551340236,0.015873470587860733,-0.0102,-0.0078,-0.008365002550053544,General Motors,Rivian IPO,0.0032129738309677226,0.08035515313214346
2021-11-30,13,-0.033244264252858424,-0.019457616070086114,0.005107885133309786,0.0053,-0.0113,-0.007116407701042306,General Motors,Rivian IPO,-0.02612785655181612,0.07323874543110115
2021-12-01,14,0.0032832632609842705,-0.011107203410551714,-0.02857054782472479,-0.0078,0.0109,0.014242033869997957,General Motors,Rivian IPO,-0.010958770609013686,0.0874807793010991
2021-12-02,15,0.050981726049946774,0.015316301657013032,-0.026373254811156904,0.0072,0.0124,0.027095302169888535,General Motors,Rivian IPO,0.02388642388005824,0.11457608147098763
2021-12-03,16,-0.02146839337042883,-0.008701312903057756,-0.07644900250331926,-0.0115,0.0108,-0.0019611642755962763,General Motors,Rivian IPO,-0.019507229094832552,0.11261491719539135
