date,event_day,return,market_return,industry_return,smb,hml,abnormal_return,asset,case,expected_return,cumulative_abnormal_return
2020-09-09,-5,0.029464950779233945,0.029375781875125684,0.030005126980660768,-0.0018,-0.0199,0.009265932387282974,Oracle,Snowflake IPO,0.02019901839195097,0.009265932387282974
2020-09-10,-4,0.006672538420096519,-0.019936693707984565,-0.016356861002852302,0.0031,-0.0006,0.02754556999098765,Oracle,Snowflake IPO,-0.02087303157089113,0.03681150237827062
2020-09-11,-3,-0.005756180368302943,-0.006939796417249289,-0.012304968698297974,-0.0084,0.009,-0.007828241407015105,Oracle,Snowflake IPO,0.0020720610387121616,0.028983260971255514
2020-09-14,-2,0.043157878674958905,0.017415386365272623,0.027395595719701737,0.0118999999999999,-0.008,0.038996959869919634,Oracle,Snowflake IPO,0.004160918805039268,0.06798022084117515
2020-09-15,-1,0.024890675496542558,0.014173549369745908,0.029125271736960057,-0.0027,-0.0146,0.015580211591139433,Oracle,Snowflake IPO,0.009310463905403125,0.08356043243231459
2020-09-16,0,-0.008368860075912088,-0.01594643533993756,-0.01742703030858775,0.0076,0.0132,0.0073665684721434775,Oracle,Snowflake IPO,-0.015735428548055565,0.09092700090445807
2020-09-17,1,-0.004137018016506455,-0.01562207587554254,-0.009627138554525905,0.0036,0.002,0.012236211626424603,Oracle,Snowflake IPO,-0.01637322964293106,0.10316321253088268
2020-09-18,2,-0.007145236008561429,-0.012762696483998526,0.00017942245485905173,0.0079,-0.0021,0.010947781476564455,Oracle,Snowflake IPO,-0.018093017485125883,0.11411099400744713
2020-09-21,3,0.01790794468325063,0.002398226327978481,0.023887519133198643,-0.0202,-0.019,0.008294936834460628,Oracle,Snowflake IPO,0.009613007848790003,0.12240593084190776
2020-09-22,4,-0.003288404537043599,0.01857874860479991,0.02285223118740859,-0.0017,-0.016,-0.01513306822536206,Oracle,Snowflake IPO,0.011844663688318461,0.1072728626165457
2020-09-23,5,-0.027383699713973253,-0.03053437679373927,-0.027817858613631313,-0.0069999999999999,0.0016,-0.004809366393984629,Oracle,Snowflake IPO,-0.022574333319988624,0.10246349622256107
