case,listing_date,asset,code,market,alpha,beta_market,beta_industry,beta_smb,beta_hml,factor_model,r_squared,n_estimation,sigma,car_m1_p1,t_m1_p1,p_m1_p1,car_0_p1,t_0_p1,p_0_p1,car_0_p5,t_0_p5,p_0_p5,car_0_p20,t_0_p20,p_0_p20,car_0_p60,t_0_p60,p_0_p60,car_0_p120,t_0_p120,p_0_p120
LG Energy Solution IPO,2022-01-27,LG Chem,051910,KOSPI,-0.0013450338218457159,0.4861749367516789,0.39050956693425964,,,market_industry,0.19618264575978628,231,0.022588069263424902,0.046391431745910525,1.1857633910288652,0.23571575263443556,0.005575473962176003,0.1745370709203283,0.861443399468659,-0.023935999200617813,-0.4326102705032598,0.6652979267931902,-0.08553710542258662,-0.8263533489528683,0.4086036786946432,-0.1395751991442035,-0.7911598289355867,0.42885072983416084,0.1705126616739619,0.6862539192922109,0.4925530017772606
LG Energy Solution IPO,2022-01-27,Samsung SDI,006400,KOSPI,-7.328610197597892e-05,0.9228567712688802,0.2483530422688215,,,market_industry,0.37936295877371307,231,0.015714132152975437,-0.06342391964353096,-2.3302474945980576,0.019793074064534677,-0.050529854945329515,-2.2737496882670483,0.022981040803650377,-0.12224217545021325,-3.1758138893266046,0.0014941677663840025,-0.10313396528678934,-1.4321933974759047,0.1520884807788121,0.015665274073879187,0.127638790115011,0.8984348321125899,0.06674716013128904,0.386144369235819,0.6993897513663461
LG Energy Solution IPO,2022-01-27,SK Innovation,096770,KOSPI,0.00022908609249336896,0.7577756011907858,0.37491104754510274,,,market_industry,0.19093507913272856,231,0.025919093422490703,-0.04715558934313662,-1.0503952340181486,0.29353643597234624,-0.03587645218923324,-0.978756556581908,0.32770027989493444,-0.054326379992173754,-0.855687789591056,0.3921704959602823,-0.051322748516883,-0.43209620490616657,0.6656714928528311,-0.008831828431172577,-0.04362805974721147,0.9652008845434077,-0.10969201895901701,-0.38473574522842,0.7004332090607899
Doosan Robotics IPO,2023-10-05,Doosan Corp,000150,KOSPI,-7.147007012208824e-05,1.0327829552229355,0.2637693640943603,,,market_industry,0.263061895059739,231,0.027864794057812798,-0.16448530800191916,-3.4080868014174266,0.0006542008078147532,-0.20941072521351448,-5.3140799657247415,1.07197539733761e-07,-0.24679730596643365,-3.615837893610187,0.00029937768738008685,-0.35020284307765365,-2.74254765394991,0.006096460323516295,-0.2978828407094362,-1.368751889242486,0.1710768443256283,0.13975591514072455,0.4559546777288685,0.6484225696506067
Doosan Robotics IPO,2023-10-05,Rainbow Robotics,277810,KOSDAQ,0.00528817495515976,0.09314084558041102,1.141637271863039,,,market_industry,0.3448025795986762,231,0.046579133857915456,0.006782496563379325,0.08406932229761327,0.9330013155334216,0.07454167635788216,1.131599505359078,0.2578028481564554,0.07357609631223977,0.6448663392948002,0.5190138068401848,0.17761337890172754,0.8320982725837971,0.40535347680850076,-0.08882576517737142,-0.2441645623049739,0.8071033717423037,-0.6875669747353325,-1.3419332528374384,0.1796176386826689
Doosan Robotics IPO,2023-10-05,Robostar,090360,KOSDAQ,-7.43904196083462e-05,0.47366207671830696,0.47899767062355497,,,market_industry,0.3107861649720435,231,0.03236139156723732,-0.013817151042280162,-0.2465078133960848,0.8052891568097571,-0.020231845156760245,-0.44207230324251107,0.6584368858780671,-0.018549069357852173,-0.2340018611160499,0.8149835338113496,-0.0050140996271137925,-0.033810852657201,0.9730279817257006,-0.011988246885337266,-0.04743114102107441,0.9621696099971331,0.003064008381132563,0.008607362136694914,0.9931324034415714
LG CNS IPO,2025-02-05,Samsung SDS,018260,KOSPI,-0.0009422660301365842,0.6052149105909054,0.035765759588462294,,,market_industry,0.1655584423984091,231,0.018324668752535966,0.018149430723064845,0.5718290930715904,0.5674377653995522,-0.0002742010764465886,-0.010580788290495084,0.9915579099018501,-0.006158844029442766,-0.1372105318905488,0.8908643864034165,-0.0344123890507739,-0.4097972540759196,0.6819546806994972,0.060960687975865416,0.42594037537035667,0.6701512934561957,0.2270614753979373,1.126457050201616,0.2599721104363031
LG CNS IPO,2025-02-05,Hyundai AutoEver,307950,KOSPI,-0.0006936916917763638,1.1107497938091278,0.0095683951255017,,,market_industry,0.24372004846135453,231,0.024629117912316135,-0.010098281207887274,-0.23672164770508333,0.8128727397780295,0.023485999806870998,0.6742876373205314,0.5001284622288842,-0.01954801671009479,-0.3240247755630945,0.7459192770916121,-0.08611321985477002,-0.7629767832139518,0.44547724202886574,-0.10602666000078051,-0.5511899689033276,0.5815034557544183,-0.09874901251683191,-0.36449470046129673,0.7154886304525148
LG CNS IPO,2025-02-05,POSCO DX,022100,KOSPI,-0.003939933507770018,1.4530949634965868,0.08009476136026286,,,market_industry,0.3492137618181027,231,0.025998609535545752,0.028296482641064623,0.6283790618725984,0.5297556500804281,0.012330641860253969,0.335367184304507,0.73734811917028,0.010002039233938019,0.15705899243668792,0.875198355706239,0.38483899466178284,3.2301248026675187,0.0012373619230974242,0.5439526782976241,2.6788357148542445,0.007387863144845852,0.41978344055565026,1.4678527675654593,0.14214422041836405
Arm Holdings IPO,2023-09-14,AMD,AMD.US,Nasdaq 100 ETF,0.0002682775906462656,0.9080869359358721,0.5785031747368963,0.2488589247237979,-0.4263707349638533,market_industry_smb_hml,0.6002205536897984,231,0.021211488432705566,-0.028660565445265115,-0.780104858150215,0.43532915713350806,-0.038660220466452996,-1.288778208126387,0.19747520410123576,-0.03696808772716641,-0.7115087026643311,0.47676905988554497,0.006637375282610483,0.06828346985035401,0.9455599825621432,0.09095368858412574,0.5490150557630774,0.5829951176299106,0.3354518075577095,1.437693491695854,0.1505210405509234
Arm Holdings IPO,2023-09-14,Qualcomm,QCOM.US,Nasdaq 100 ETF,-0.0016639103886576477,0.9077191005222885,0.33875699951907634,0.20590986458757143,0.4798419718243613,market_industry_smb_hml,0.5880460207396857,231,0.015498259776629646,0.026852457819286652,1.000323518498905,0.3171539691774399,0.02013184921206497,0.9185139041960173,0.3583498830185792,0.024083589917384005,0.6343992521554506,0.5258202975246229,0.02213392953258912,0.3116491447973451,0.7553071808090495,0.15734739249967644,1.299905246885497,0.19363344658704862,0.3409613133871835,1.9999976437315339,0.04550051833138147
Arm Holdings IPO,2023-09-14,Broadcom,AVGO.US,Nasdaq 100 ETF,0.001302678734638665,0.6988414304844356,0.37033225008152815,-0.1276085422550999,0.3038269107410768,market_industry_smb_hml,0.5916995356720737,231,0.013528737192479715,0.00846602798942734,0.3612948842985746,0.7178790175558674,0.010488814090919982,0.5482190587911853,0.5835414970662922,-0.011248272524540078,-0.33943212610913565,0.7342842204387396,0.026231610376482715,0.42311463312559333,0.6722116265078228,-0.07527139265511743,-0.7123735295207293,0.47623350259116104,0.07036654356177567,0.47284224792036605,0.6363257301429912
