date,open,high,low,close,adj_close,volume,foreign_ownership,code,name,source
2019-07-15,158.75999450683594,159.83999633789062,157.47999572753906,159.64999389648438,157.33998107910156,3603700,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-16,159.9600067138672,161.61000061035156,156.8000030517578,157.1300048828125,154.85646057128906,6913100,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-17,157.67999267578125,159.9199981689453,157.66000366210938,158.24000549316406,155.9503936767578,4160500,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-18,157.0,158.5800018310547,156.2100067138672,157.97999572753906,155.6941680908203,3724000,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-19,159.72999572753906,160.74000549316406,156.2899932861328,156.75,154.48194885253906,5218800,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-22,157.64999389648438,159.0500030517578,157.14999389648438,157.6999969482422,155.418212890625,2909500,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-23,157.97999572753906,158.4499969482422,155.27999877929688,156.25,153.9891815185547,4865800,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-24,155.97999572753906,160.25,155.6999969482422,159.75,157.4385528564453,4110500,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-25,160.1199951171875,161.1300048828125,158.6699981689453,159.35000610351562,157.04434204101562,6934500,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-26,159.55999755859375,160.82000732421875,158.72999572753906,159.97000122070312,157.65536499023438,4979100,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-29,160.39999389648438,161.1999969482422,155.52000427246094,156.2100067138672,153.9497833251953,8880500,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-30,155.33999633789062,158.22000122070312,154.6199951171875,156.9600067138672,154.68890380859375,4241600,,CRM.US,Salesforce,yahoo-finance-chart
2019-07-31,157.38999938964844,157.88999938964844,152.3000030517578,154.5,152.26449584960938,7454200,,CRM.US,Salesforce,yahoo-finance-chart
2019-08-01,154.72999572753906,157.77999877929688,150.41000366210938,150.80999755859375,148.62789916992188,26124700,,CRM.US,Salesforce,yahoo-finance-chart
2019-08-02,149.8000030517578,149.89999389648438,145.30999755859375,145.6999969482422,143.5918426513672,13138900,,CRM.US,Salesforce,yahoo-finance-chart
2019-08-05,141.33999633789062,143.75,139.8000030517578,142.82000732421875,140.75352478027344,13070100,,CRM.US,Salesforce,yahoo-finance-chart
